CODE,PAYS,BE16,BE15,BE14,BE13,BE12,BE11,BE10,BE09,BE08,BE07,BE06,BE05,BE04,BE03,BE02,BE01,BE00,BE99,BE98,BE97,BE96,BE95,BE94,BE93,BE92,BE91,BE90,BE89
112,Etats-Unis,2,2,2,4,1,4,2,4,5,4,2,3,5,6,4,6,6,8,4,7,6,4,3,5,7,4,6,4
312,France,3,1,1,3,3,1,2,1,3,3,1,6,3,3,5,2,4,3,3,3,2,3,3,2,4,3,1,2
302,Allemagne,2,2,4,2,3,2,3,2,2,2,4,3,2,3,4,0,2,2,1,1,1,2,2,2,3,2,3,2
327,Royaume-Uni,1,1,1,0,0,1,0,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,0,2,1,1
405,Chine,1,1,3,0,1,0,2,1,1,2,0,1,0,2,0,1,1,0,1,1,1,1,0,1,0,1,1,1
309,Espagne,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2
317,Italie,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,2,1,0,1,0,1,1,2,1,0,4,1,0
416,Japon,0,1,1,0,0,0,2,0,1,0,0,1,0,1,2,2,1,1,1,1,1,0,0,1,1,0,0,1
308,Danemark,1,0,0,0,1,0,2,1,0,0,1,1,1,0,1,1,0,1,1,2,2,0,0,2,0,0,0,0
501,Russie,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,3,1,1,1
708,Hong-Kong,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,3,1,0,1,0,0,0
105,Canada,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0
409,Corée du Sud,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
314,Hongrie,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
414,Iran,1,1,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,Argentine,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
601,Australie,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,1,0,1,0,0,0
415,Israel,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
313,Grèce,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
406,Taiwan,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
104,Brésil,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
324,Pologne,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
303,Autriche,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Chili,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
119,Mexique,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
326,Roumanie,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
304,Belgique,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
305,Bosnie,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Norvège,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
325,Portugal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
330,Suède,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
333,Suisse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
432,Turquie,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
216,Algérie,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323,Pays-Bas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
110,République Tchèque,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
311,Finlande,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,Irlande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,Tunisie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
211,Afrique du Sud,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Bulgarie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
307,Croatie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
507,Géorgie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Guatemala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Inde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Indonésie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Kazakhstan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Palestine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
