"PAYS","variable","value"
"France","CA89",3
"Etats-Unis","CA89",4
"Royaume-Uni","CA89",2
"Italie","CA89",3
"Japon","CA89",1
"Chine","CA89",0
"Russie","CA89",0
"Canada","CA89",1
"Corée du Sud","CA89",0
"Taiwan","CA89",0
"Danemark","CA89",0
"Mexique","CA89",0
"Belgique","CA89",0
"Espagne","CA89",1
"Australie","CA89",2
"Autriche","CA89",0
"Israel","CA89",0
"Allemagne","CA89",2
"Argentine","CA89",0
"Iran","CA89",0
"Portugal","CA89",0
"Turquie","CA89",0
"Brésil","CA89",1
"Hong-Kong","CA89",0
"Roumanie","CA89",0
"Finlande","CA89",0
"Grèce","CA89",0
"Hongrie","CA89",0
"Serbie","CA89",1
"Suède","CA89",1
"Nouvelle-Zélande","CA89",0
"Philippines","CA89",0
"Pologne","CA89",0
"Afrique du Sud","CA89",0
"Algérie","CA89",0
"Bosnie","CA89",0
"Burkina Faso","CA89",0
"Cambodge","CA89",0
"Chili","CA89",0
"Colombie","CA89",0
"Egypte","CA89",0
"Guinée","CA89",0
"Haiti","CA89",0
"Inde","CA89",0
"Irak","CA89",0
"Irlande","CA89",0
"Mali","CA89",0
"Mauritanie","CA89",0
"Norvège","CA89",0
"Palestine","CA89",0
"Pays-Bas","CA89",0
"Sénégal","CA89",0
"Singapour","CA89",0
"Suisse","CA89",0
"Tchad","CA89",0
"Thailande","CA89",0
"Ukraine","CA89",0
"Albanie","CA89",0
"Bangladesh","CA89",0
"Bolivie","CA89",0
"Bulgarie","CA89",0
"Croatie","CA89",0
"Cuba","CA89",0
"Géorgie","CA89",0
"Islande","CA89",0
"Kazakhstan","CA89",0
"Kenya","CA89",0
"Liban","CA89",0
"Lituanie","CA89",0
"Malaisie","CA89",0
"Maroc","CA89",0
"Perou","CA89",0
"République Tchèque","CA89",0
"Slovaquie","CA89",0
"Slovénie","CA89",0
"Sri Lanka","CA89",0
"Uruguay","CA89",0
"Venezuela","CA89",0
"France","CA90",5
"Etats-Unis","CA90",3
"Royaume-Uni","CA90",1
"Italie","CA90",1
"Japon","CA90",1
"Chine","CA90",1
"Russie","CA90",2
"Canada","CA90",0
"Corée du Sud","CA90",0
"Taiwan","CA90",0
"Danemark","CA90",0
"Mexique","CA90",0
"Belgique","CA90",0
"Espagne","CA90",0
"Australie","CA90",0
"Autriche","CA90",0
"Israel","CA90",0
"Allemagne","CA90",0
"Argentine","CA90",0
"Iran","CA90",0
"Portugal","CA90",0
"Turquie","CA90",0
"Brésil","CA90",0
"Hong-Kong","CA90",0
"Roumanie","CA90",0
"Finlande","CA90",0
