CODE,PAYS,CA15,CA14,CA13,CA12,CA11,CA10,CA09,CA08,CA07,CA06
312,France,2,3,3,4,3,1,3,4,4,5
112,Etats-Unis,1,1,2,2,2,2,1,3,1,1
326,Roumanie,2,0,0,0,1,2,2,0,1,1
409,Corée du Sud,2,1,0,0,3,1,1,0,0,1
601,Australie,0,1,0,0,1,0,1,0,0,3
501,Russie,0,0,0,0,1,0,2,1,0,2
405,Chine,0,1,0,1,0,1,0,1,1,1
119,Mexique,1,0,1,1,1,0,0,1,0,1
431,Thailande,1,0,0,0,0,0,1,1,1,1
302,Allemagne,0,0,1,0,1,1,0,1,1,0
416,Japon,2,0,0,1,0,0,1,1,0,0
101,Argentine,0,1,1,1,0,2,0,0,0,0
411,Inde,2,1,0,1,0,1,0,0,0,0
317,Italie,0,1,1,0,0,0,0,0,1,1
327,Royaume-Uni,0,1,0,0,0,1,0,1,1,0
104,Brésil,0,1,0,0,1,0,1,1,0,0
414,Iran,1,0,1,0,1,0,1,0,0,0
105,Canada,0,0,1,2,0,1,0,0,0,0
309,Espagne,0,1,0,0,0,0,0,0,1,1
322,Norvège,0,0,0,0,1,0,0,1,0,1
314,Hongrie,0,1,0,0,0,1,0,0,0,1
415,Israel,0,1,0,0,0,0,1,0,1,0
107,Colombie,1,0,0,1,0,0,1,0,0,0
427,Philippines,1,0,1,0,0,0,1,0,0,0
106,Chili,0,0,0,0,1,0,0,0,1,0
420,Liban,0,0,0,0,1,0,0,1,0,0
,Palestine,0,0,1,0,0,0,0,1,0,0
330,Suède,0,1,0,0,0,0,0,1,0,0
323,Pays-Bas,0,0,0,0,0,1,1,0,0,0
325,Portugal,0,0,0,0,0,1,1,0,0,0
313,Grèce,0,1,0,0,0,0,1,0,0,0
211,Afrique du Sud,0,0,0,0,1,1,0,0,0,0
,Indonésie,0,0,0,0,0,0,0,0,0,1
,Paraguay,0,0,0,0,0,0,0,0,0,1
319,Lituanie,0,0,0,0,0,0,0,0,0,1
324,Pologne,0,0,0,0,0,0,0,0,0,1
,Estonie,0,0,0,0,0,0,0,0,1,0
127,Uruguay,0,0,0,0,0,0,0,0,1,0
406,Taiwan,0,0,0,0,0,0,0,1,0,0
123,Perou,0,0,0,0,0,1,0,0,0,0
333,Suisse,0,0,0,0,0,1,0,0,0,0
709,Singapour,0,0,0,0,1,0,0,0,0,0
304,Belgique,0,0,0,1,0,0,0,0,0,0
305,Bosnie,0,0,0,1,0,0,0,0,0,0
109,Cuba,0,0,0,1,0,0,0,0,0,0
508,Kazakhstan,0,0,0,1,0,0,0,0,0,0
218,Maroc,0,0,0,1,0,0,0,0,0,0
229,Sénégal,0,0,0,1,0,0,0,0,0,0
404,Cambodge,0,0,1,0,0,0,0,0,0,0
708,Hong-Kong,0,0,1,0,0,0,0,0,0,0
413,Irak,0,0,1,0,0,0,0,0,0,0
,Côte d'Ivoire,0,1,0,0,0,0,0,0,0,0
303,Autriche,0,1,0,0,0,0,0,0,0,0
307,Croatie,1,0,0,0,0,0,0,0,0,0
,Ethiopie,1,0,0,0,0,0,0,0,0,0
316,Islande,1,0,0,0,0,0,0,0,0,0
301,Albanie,0,0,0,0,0,0,0,0,0,0
216,Algérie,0,0,0,0,0,0,0,0,0,0
403,Bangladesh,0,0,0,0,0,0,0,0,0,0
103,Bolivie,0,0,0,0,0,0,0,0,0,0
306,Bulgarie,0,0,0,0,0,0,0,0,0,0
221,Burkina Faso,0,0,0,0,0,0,0,0,0,0
308,Danemark,0,0,0,0,0,0,0,0,0,0
204,Egypte,0,0,0,0,0,0,0,0,0,0
311,Finlande,0,0,0,0,0,0,0,0,0,0
507,Géorgie,0,0,0,0,0,0,0,0,0,0
226,Guinée,0,0,0,0,0,0,0,0,0,0
116,Haiti,0,0,0,0,0,0,0,0,0,0
315,Irlande,0,0,0,0,0,0,0,0,0,0
243,Kenya,0,0,0,0,0,0,0,0,0,0
421,Malaisie,0,0,0,0,0,0,0,0,0,0
222,Mali,0,0,0,0,0,0,0,0,0,0
219,Mauritanie,0,0,0,0,0,0,0,0,0,0
322,Nouvelle-Zélande,0,0,0,0,0,0,0,0,0,0
110,République Tchèque,0,0,0,0,0,0,0,0,0,0
332,Serbie,0,0,0,0,0,0,0,0,0,0
328,Slovaquie,0,0,0,0,0,0,0,0,0,0
329,Slovénie,0,0,0,0,0,0,0,0,0,0
429,Sri Lanka,0,0,0,0,0,0,0,0,0,0
224,Tchad,0,0,0,0,0,0,0,0,0,0
432,Turquie,0,0,0,0,0,0,0,0,0,0
503,Ukraine,0,0,0,0,0,0,0,0,0,0
128,Venezuela,0,0,0,0,0,0,0,0,0,0
