PAYS,CANNES,BERLIN,VENISE,LOCARNO,MOSCOU,UCR
Afrique du Sud,0,0,1,1,0,2
Albanie,0,0,0,0,1,0
Algérie,1,2,2,1,0,0
Allemagne,3,26,7,7,10,5
Argentine,4,6,1,7,0,5
Arménie,0,0,0,0,0,0
Australie,1,1,1,0,0,6
Autriche,5,5,3,3,3,1
Azerbaidjan,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0
Belarus,0,0,0,0,1,0
Belgique,4,1,3,6,1,1
Bolivie,0,0,0,0,0,0
Bosnie,1,3,0,0,0,1
Brésil,2,3,1,3,1,4
Bulgarie,0,0,0,0,6,0
Burkina Faso,1,0,0,0,0,0
Cambodge,0,0,0,0,0,1
Canada,5,4,5,4,1,4
Chili,0,3,1,1,0,2
Chine,6,11,6,6,3,6
Colombie,0,0,0,0,0,3
Corée du Sud,7,5,0,8,5,9
Côte d'Ivoire,0,0,0,0,0,1
Croatie,0,0,0,0,2,1
Cuba,0,0,0,1,0,1
Danemark,4,5,1,0,2,0
Egypte,1,0,2,0,0,0
Espagne,5,2,2,5,6,3
Estonie,0,0,0,0,0,1
Etats-Unis,30,30,49,18,6,16
Ethiopie,0,0,1,0,0,1
Finlande,2,1,0,0,3,0
France,42,19,27,27,8,32
Géorgie,0,0,0,0,4,0
Grèce,1,2,3,3,3,2
Guatemala,0,1,0,1,0,0
Guinée,0,0,0,0,0,0
Haiti,0,0,0,0,0,0
Hong-Kong,2,2,4,0,1,1
Hongrie,4,2,0,0,7,3
Inde,0,0,0,0,0,5
Indonésie,0,1,0,0,0,1
Irak,0,0,0,0,0,1
Iran,0,7,1,3,5,4
Irlande,0,0,0,0,0,0
Islande,0,0,0,0,1,1
Israel,4,3,5,3,5,3
Italie,14,5,34,10,8,4
Japon,9,5,13,9,7,5
Kazakhstan,0,1,0,0,1,1
Kenya,0,0,0,0,0,0
Kirghizistan,0,0,0,0,0,0
Lettonie,0,0,0,0,1,0
Liban,0,0,0,1,1,2
Lituanie,0,0,0,0,0,1
Luxembourg,0,0,0,0,0,0
Macédoine,0,0,0,0,0,0
Malaisie,0,0,0,1,0,0
Mali,0,0,0,0,0,0
Maroc,0,0,0,0,0,1
Mauritanie,1,0,0,0,0,0
Mexique,6,3,0,3,4,6
Norvège,1,2,0,0,0,3
Nouvelle-Zélande,1,0,0,0,0,0
Ouzbékistan,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0
Palestine,0,0,0,0,0,2
Parguay,0,0,0,0,0,1
Pays-Bas,1,0,1,4,2,2
Perou,0,1,0,2,0,1
Philippines,2,0,1,1,1,3
Pologne,0,3,2,1,8,1
Portugal,1,1,1,6,0,2
République Tchèque,0,1,0,0,2,0
Roumanie,2,4,0,7,1,9
Royaume-Uni,13,9,12,10,4,4
Russie,4,4,7,5,21,6
Sénégal,0,1,0,0,0,1
Serbie,1,0,0,1,3,0
Singapour,1,0,0,0,0,1
Slovaquie,0,0,0,0,0,0
Slovénie,0,0,0,0,0,0
Sri Lanka,0,0,1,1,0,0
Suède,0,1,1,0,2,2
Suisse,1,1,0,14,2,1
Taiwan,3,0,6,1,0,1
Tchad,1,0,1,0,0,0
Thailande,0,1,1,0,0,5
Tunisie,0,0,0,0,0,0
Turquie,5,2,3,2,4,0
Ukraine,1,0,0,0,4,0
Uruguay,0,1,0,0,0,1
Venezuela,0,0,1,0,1,0
Vietnam,0,1,0,0,0,0
